,What Programming Language did you use?,What Game Engine (if any) did you use?,"What Programming Library/Framework did you use, if any?",What image editor did you use?,What sound effect generator/editor did you use?,What's your username/handle?,What's the name of your game?,What's the URL for your entry on the Ludum Dare site?,Did you finish?,What music composition software did you use?,What map/level editor did you use?,What timelapse capture tool did you use?,What OS did you develop on?,What modeling tool did you use?,Timelapse URL,Post-Mortem URL,Valid
4/28/2012 4:38:56,JavaScript,LycheeJS,LycheeJS,,"Audacity, Milkytracker,  AS3SFXR",martensms,Immune System,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10936,,Milkytracker,Custom,,Linux,Nothing for the game,,http://www.ludumdare.com/compo/2012/04/24/post-mortem-work-on-immune-system-game/,
4/28/2012 13:47:26,JavaScript,,CanvasLord,,SFXR,WITS,Milunar,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=4644,,,,Chronolapse,Web,,http://www.youtube.com/watch?v=HV9wNQO2k8o,,
4/28/2012 16:08:54,JavaScript,,Flixel,Gale,"Bfxr, GXSCC",Oye Beto,Micro World,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=7933,,Guitar Pro,,,Windows,,,,
4/28/2012 18:14:27,JavaScript,,WebGL,GIMP,amsynth,mortehu,Laser Coin Planets,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11931,,,,ImageMagick,Linux,,http://youtu.be/0UzXo5ywIts,,
4/29/2012 23:51:35,Javascript,,melonJS,,Bfxr,Adhesion,Escape from MiniMars,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=7860,,Ableton Live,Tiled,Chronolapse,"Windows, Linux",,http://www.youtube.com/watch?v=jAOU6cHepvw,http://www.ludumdare.com/compo/2012/04/29/escape-from-minimars-postmortem-extras/,
4/30/2012 7:12:20,JavaScript,CraftyJS,jQuery,Paint.net,SFXR,sanojian,Shoebox World,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=7542,,Musagi,,,Windows,,,http://www.ludumdare.com/compo/2012/04/24/shoebox-world-postmortem/,
4/30/2012 12:02:11,javascript,,"node.js, socket.io, jQuery",Paint.net,,goffmog,TMORPG,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=2011,,,,,"Windows, Linux",,,,
4/30/2012 15:33:18,Javascript,,,Inkscape,,Johnicholas,van Leeuwenhoek,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=3926,,,,Chronolapse,Windows,,http://www.youtube.com/watch?v=FSv1_J7xdsc,,
5/1/2012 13:12:19,JavaScript,,"Crafty.js, Underscore.js, Custom","Pixen, Pixelmator",,netmute,Tiny Maze Speedrun,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11213,,,Custom (algorithmically generated),,Mac,,,http://www.ludumdare.com/compo/2012/05/01/dev-diary-post-mortem-for-tiny-maze-speedrun/,
4/26/2012 17:09:43,JavaScript (UnityScript),Unity,Unity,"Paint.NET, PyxelEdit","SFXR, BFXR",kroltan,The Little Glitch,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10851,,,Unity,,Windows,,,http://www.ludumdare.com/compo/2012/04/23/the-little-postmortem/,
4/26/2012 21:31:51,"JavaScript, HTML",,Three.js,Gimp,,davidwparker,Tiny God,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=7737,,,,,Mac,,,,
4/25/2012 15:23:45,"Javascript, HTML5",,,Photoshop,,TheGamingProject,The Gaming Project,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10740,,iNudge,,Chronolapse. ScreenNinja,"Windows, Mac",,art: http://www.youtube.com/watch?v=5S4HnaQUuag code:http://www.youtube.com/watch?v=Csc4U0fFLk8&feature=channel&list=UL,,
4/25/2012 17:21:09,"JavaScript, HTML",,,Pixen,CFXR,devwil,Epic Scale Warfare,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=7526,,,,,Mac,,,,
4/24/2012 11:49:58,Lua,LOVE 2D,,Inkscape,sfxr,Fireblend,Disregard All Humans,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10166,,Autotracker-Bu,,,"Windows, Mac, Linux",,,,
4/24/2012 12:43:42,LUA,ShiVa,,"Gimp, Corel, Lightwave, UVWrap3D","SFXR, Audacity, AVS",psychopsam,Small World,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=12354,,Bought track from Opuzz.,ShiVa built in editor,Windows PRTSC,"Windows, Mac",,,,
4/24/2012 14:53:21,Lua,,LÖVE (love2d.org),Gimp,,josefnpat,Pocket Strife,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11249,,,,gnome-screenshot & gtk-recordmydesktop,"Linux, Ubuntu 10.04",,,,
4/25/2012 8:13:09,Lua,,"LÖVE, Custom libs",GIMP,Audacity,vrld,NaMa Tek,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=3805,,sunvox,Custom,,Linux,,,http://www.ludumdare.com/compo/2012/04/25/nama-tek-postmortem/,
4/25/2012 10:42:01,Lua,Löve2D,,Pixelmator,SFXR,daandruff,Another Kind of World,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=3244,,Renoise,,,Mac,,,,
4/25/2012 15:00:12,Lua,Love2d,Love2d,,SFXR,armornick,TinyLife,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10899,,,,,Windows,,,,
4/25/2012 15:14:13,Lua,,Love2d,Inkscape,,michi,Starship In The Sky With Colors,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10726,,MilkyTracker,custom,,"Windows, Linux",,,,
4/25/2012 16:23:36,Lua,Corona,,,SFXR,Hattered,Pluto's Revenge,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=12853,,,,,Windows,,,,
4/25/2012 16:38:21,Lua,,Love2d,"Gimp, Paint.net",SFXR,scgrn,Amoebae,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=7797,,Musagi,,,"Windows, Mac, Linux",,,,
4/25/2012 16:44:46,Lua,LÖVE,,Paint.NET,,SiENcE,SlimeABug,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=13106,,Garage Band,Tiled,,Windows,,,,
4/26/2012 12:24:56,lua,,love2d,,,racarate,TINY LIZARD SWELL WORLD,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10426,,nanostudio,,shell script,Mac,,,,
4/26/2012 12:33:36,Lua,LÖVE,,"Gimp, Inkscape",SFXR,fysx,Spaceship In The Sky With Colors,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10726,,Milkytracker,Custom,,"Windows, Linux",,,,
4/26/2012 15:35:57,Lua,,LOVE,,SFXR,koredozo,Crash Effect,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=12006,,Modplug Tracker,,,Windows,,,http://www.ludumdare.com/compo/2012/04/22/done-68/,
4/26/2012 17:54:56,Lua,,Löve,Pickle,BFXR,graytest,Tiny World,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11705,,,,,Windows,,,,
4/26/2012 21:08:03,Lua,LÖVE,,Paint.net,,Puzzlem00n,Empty,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11003,,Otomata,,Chronolapse,Windows,,,http://www.ludumdare.com/compo/2012/04/26/a-quick-post-mortem/,
4/27/2012 9:12:43,Lua,,LÖVE,Pinta,SFXR,SFX,Save Your Planet!,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10908,,Ardour,,,Linux,,,http://www.ludumdare.com/compo/2012/04/24/save-your-planet-post-mortem/,
4/27/2012 9:44:31,Lua,,Löve,GIMP,,Gaeel,Robot in the Garden,http://www.ludumdare.com/compo/ludum-dare-23/?action=rate&uid=1561,,"FL Studio, Renoise",Custom,,Linux,,,http://www.ludumdare.com/compo/2012/04/27/robot-in-the-garden-a-post-mortem/,
4/27/2012 17:37:31,Lua,,LOVE,Photoshop,,Darkwater,Inlander,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11248,,,,Chronolapse,Windows,,http://www.youtube.com/watch?v=hG4Kj0QVGyY,,
4/27/2012 19:03:22,Lua,Löve/Love2d,,grafx2,,Muhiz,Large Hadron Collider: Ludum Dare Edition,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11801,,,,,"Windows, Linux",,,http://www.ludumdare.com/compo/2012/04/23/lhc-post-mortem/,
4/30/2012 7:09:23,Lua,GAUGE,Love2D,Adobe Illustrator,Audacity,finn,celia,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=7674,,,Tiled,,"Windows, Linux",,,,
4/28/2012 13:30:33,MMF2,MMF2,,Photoshop,Sound Forge,Rik,Kill Drill,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=1070,,MadTracker 2,,,Windows,,,http://www.ludumdare.com/compo/2012/04/27/a-post-mortem/,
4/26/2012 10:43:42,Monkey,,Custom,Fireworks,SFXR,invaderJim,Big Space Tiny Man,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=2117,,LMMS,,,Windows,,,,
4/26/2012 20:40:46,Monkey,,,"Photoshop, Gimpo",,shadow,Drop of life,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=4250,,,,,Windows,,,http://www.ludumdare.com/compo/2012/04/24/drop-of-life-post-mortem-or-a-journal-of-sorts-kinda/,
4/25/2012 15:57:20,MoonScript,LÖVE,,Gimp,as3sfxr,leafo,Wulcan,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=4321,,Audacity,,glapse,Linux,,http://www.youtube.com/watch?v=Na80KU_STkM,,
4/26/2012 9:27:26,Multimedia Fusion 2,Multimedia Fusion 2,Multimedia Fusion 2,"Photoshop, Multimedia Fusion",Labchirp,Jigxor,ANT SURF HERO: The Surfening,http://www.ludumdare.com/compo/ludum-dare-23/?action=rate&uid=3289,,FL Studio,Multimedia Fusion 2 built in,Chronolapse,Windows,,http://www.youtube.com/watch?v=U7fHj7FV2So,http://www.ludumdare.com/compo/2012/04/25/ant-surf-hero-the-surfening-post-mortem/,
4/29/2012 16:51:25,multimedia fusion 2,multimedia fusion 2,,photoshop,sfxr,blob,the collector,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=12252,,FL Studio,multimedia fusion 2,,Windows,,,http://www.ludumdare.com/compo/2012/04/23/the-collector-post-mortem/,
4/26/2012 3:47:25,Objective-C,,cocos2d-iphone,"Gimp, Pixen",BFXR,ccscanf,Tiny Path,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11316,,,Tiled,,Mac,,,,
4/24/2012 13:15:50,ooc,ldkit,,Gimp,Audacity,nddrylliog,Establichment,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=4598,,Ardour,Custom,,Linux,,,,
4/26/2012 12:33:46,Piapia,PhYard builder,,GIMP,Audacity,Madball,Shipwrecked,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=8370,,PXTone,,Chronolapse,Web,,http://www.youtube.com/watch?feature=player_embedded&v=WqNMEWOnFq0,http://www.ludumdare.com/compo/2012/04/23/shipwrecked-post-mortem/,
4/24/2012 14:19:31,Processing,,,Gimp,http://www.freesound.org/,KevinWorkman,Pale Blue Dot,http://www.ludumdare.com/compo/ludum-dare-23/?action=rate&uid=5364,,youtube,,PrtScn key,Windows,,,,
4/27/2012 20:44:27,Processing,,,Paint,sfxr,bcp,Tiny Word,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=3421,,,,,Windows,,,,
4/28/2012 12:25:36,"Processing, Javascript, HTML5",,"Processing.js, Crafty.js",,FL Studio,Manik,Tiny Tiny World,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=12478,,FL Studio,,,Windows,,,,
4/24/2012 16:19:11,"Processing, Java",Processing,,,,Norgg,Smallworld Survival,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=5283,,,,,Windows,,,,
4/25/2012 16:22:06,"Processing, Java",Custom (QEngine),"Custom (QEngine), Processing","Photoshop, Pixelmator, Flash",BFXR,Eliot,Unforbidden Planetoid,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=8628,,NES tracker,,,"Windows, Mac, Linux",,,http://www.ludumdare.com/compo/2012/04/23/day-2-5-recap/,
4/24/2012 13:27:49,Python,,,Grafx2 & Gimp,,Jiggawatt,Downsize,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=5551,,MilkyTracker,,,Windows,,,,
4/25/2012 9:26:05,Python,,PyGame,Gimp,,rfgpfeiffer,Tiny Artillery,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=7968,,,,,Linux,,,,
4/25/2012 18:20:13,Python,,,,,Rectifier,Battle For 35 Leukothea,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=89,,,,,Windows,,,,
4/25/2012 23:10:12,Python,,"PyGame, custom",Gimp,SFXR,Spiridios,T-Pod,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=1158,,autotracker-bu,,,Windows,,,,
4/26/2012 9:36:29,Python,,PyGame,Gimp,,Frimkron,Defend Tinyus Prime,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=158,,,,,Linux,,,,
4/26/2012 9:53:52,Python,Custom,Pygame,GraphicsGale,BFXR,Hegemege,Nanobot Rescue Team,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11022,,Guitar Pro,,Chronolapse,Windows,,http://www.youtube.com/watch?v=yf_GZe5_Kwk,,
4/26/2012 12:42:08,Python,Ren'Py,Ren'Py Cardgame Framework,"Gimp, Paint Tool Sai",Audacity,SusanTheCat,Tiny World the Cardgame,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=5150,,"Audacity, Autotracker, Tune Smithy",,Cam Studio (Failed),"Windows, Mac",,,,
4/26/2012 16:07:18,Python,,Pygame,Photoshop,sfxr,johnfn,Bright Worlds,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=3187,,FL Studio,Photoshop,,Mac,,,http://www.ludumdare.com/compo/2012/04/25/bright-worlds-postmortem-part-i-the-betrayal-of-pythonpygame/ (there will be more),
4/27/2012 4:01:12,Python,Panda3D,,Gimp,,Grungi Ankhfire,,,,,Blender,Chronolapse,Linux,Blender,,,
4/27/2012 10:28:53,Python,,Pygame,Gimp,,kelp,cells,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=7833,,,,,Windows,,,,
4/27/2012 11:03:00,Python,BGE (Blender Game Engine),,Gimp,Audacity,AD-Edge,Darkness Creeping,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=3467,,,Blender,Chronolapse,Windows,Blender,http://www.youtube.com/watch?v=v-s_raRVcF0,http://www.ludumdare.com/compo/2012/04/23/ludum-dare-23-postmortem/,
4/27/2012 14:27:49,Python,,Pyglet,Gimp,,Lattyware,Asteroid Belt,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=5642,,,,,Linux,,,,
4/28/2012 0:45:02,Python,,,,,aquasheep,WTF LEMME OUT!!!,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=13033,,,,,Linux,,,,
4/28/2012 6:58:52,Python,,Pygame,Gimp,Audacity,tcstyle,Bottlecolonies,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=4834,,acoustic guitar,pen and paper,,Windows,,,http://www.ludumdare.com/compo/2012/04/28/bottlecolonies-a-post-mortem/,
4/28/2012 11:37:48,Python,,PyGame,Gimp,Audacity,Misaka42,QBik,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10972,,,,FFMpeg,Linux,,,,
4/29/2012 12:27:13,Python,,Pygame,Gimp,Bfxr,schnerble,Space Rescue!,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11560,,Autotracker-bu,,,"Windows, Linux",,,http://www.ludumdare.com/compo/2012/04/29/post-mortem-22,
5/2/2012 4:25:17,python,,pygame,"mypaint, gimp",,TheSheep,Tin World,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11694,,,,,Linux,,,,
4/27/2012 22:41:44,Python ,,PyGame,GIMP,"Audacity, SFXR",Topaz,Tiny's World,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10594,,GarageBand,,Glapse,Linux,,,,
4/24/2012 11:31:22,Ruby,,"Chingu, Gosu",Photoshop,CFXR,spilth,Tiny World,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=2895,,,Chingu,ScreenNinja,"Windows, Mac",,https://vimeo.com/40827763,,
4/26/2012 12:33:13,Ruby,,Gosu,Pixen,sfxr,scoopsy,The Two of Us,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10538,,,Custom,,Mac,,,http://www.ludumdare.com/compo/2012/04/22/postmortem-of-the-two-of-us/,
4/24/2012 11:59:30,Scratch,Scratch,,Gimp,as3sfxr,kddekadenz,ToastBiome,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=10000,,autotracker,,Chronolapse,Linux,,,,
4/24/2012 14:41:02,Silverlight,,,Photoshop,,Serilyn,World In A Bottle,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=1128,,OpenMPT,,,Windows,,,,
4/24/2012 17:09:32,Stencyl,Stencyl,,"Seashore, Pencyl","BFXR, Audacity",jomomomo,Petri-Dish Survival,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=4914,,,,,Mac,,,,
4/26/2012 13:40:14,Stencyl,Stencyl,Flixel,Photoshop,SFXR,Mach60KAS,Quark,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=5788,,,Stencyl,Chronolapse,Windows,,http://www.youtube.com/watch?v=ckAKrGMz26I,http://www.ludumdare.com/compo/2012/04/23/quark-a-postmortem/,
4/24/2012 14:46:00,Stencyl (Flash),,,"photoshop, paint.net",audacity,Quinas,A Giant Step,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=12719,,,Stencyl,,Windows,3ds max,,,
4/25/2012 15:01:20,Stencyl Design mode,Stencyl,,Fireworks,SFXR,RHY3756547,Rocket Boat,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=7339,,PxTone,,,Windows,,,,
4/25/2012 19:07:19,"Stencyl, AS3",,Flixel,Gimp,Bfxr,nolanlabs,Little Locations,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=7036,,,,,Mac,,,,
4/25/2012 8:51:57,Tried for C++. Failed.,Game Maker,Tried SDL. Failed.,Custom,,Folis/Blechi R. C.,A Matter of Size,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=2494,,,Custom,,Windows,,I don't have one. Not much of a TL-Maker,"Not yet available, still writing. It's pretty huge.",
4/26/2012 15:16:59,UnityScript,Unity,,Gimp,,GameNacho,Shrink-O-Matic 9000,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=4992,,,Unity,,Windows,,,,
4/25/2012 8:13:03,UnityScript (JavaScript),Unity,,Photoshop,,Nuprahtor,Real War,http://www.ludumdare.com/compo/ludum-dare-23/?action=me,,FL Studio,Unity,Chronolapse,Windows,3D Studio Max,,,
4/25/2012 23:07:46,"UnityScript, Python",Unity,,"Photoshop, GIMP",,Geti,Pastor Mundi,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=2001,,,Unity,,Windows,Blender,,http://www.ludumdare.com/compo/2012/04/22/pastor-mundi-postmortem/,
4/30/2012 15:24:17,Z80 Asm,my Z80 game kernel,,"Pixelmator, TuracoCL",,BleuLlama,Tiny World '82,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=1591,,,vi,http://umlautllama.com/rand/?misc-timelapse-capture-pl.txt,Mac,,http://www.youtube.com/watch?v=VGLTFcYqnHc,http://www.ludumdare.com/compo/2012/04/24/tiny-world-82-post-mortem/,
4/25/2012 10:42:39,,Stencyl,,"Photoshop, Stencyl",BFXR,azurenimbus,Microscopia,bit.ly/Izzggw,,GarageBand,,,Mac,,,,
4/25/2012 15:47:53,,Multimedia Fusion 2,,Paint.net,Audacity,DedHedZed,Mini-Games and Monocles,http://www.ludumdare.com/compo/ludum-dare-23/?action=rate&uid=4687,,FL Studio,,,Windows,,,,
4/26/2012 16:54:40,,Multimedia Fusion 2,,custom,SFXR,Hempuli,Cloud Realm,http://www.hempuli.com/Cloud_Realm_LD23.exe,,,custom,Chronolapse,Windows,,www.youtube.com/watch?v=Ea__XS8ggos,,
4/28/2012 7:08:28,,Multimedia Fusion,,Photoshop,Reason,Mårten Jonsson,The Story of a World,http//www.jm-j.com/ld23,,Tracktion,,,Windows,,,http://www.ludumdare.com/compo/wp-admin/post.php?post=135547&action=edit,
5/11/2012 0:39:18,Actionscript   3,,Flashpunk,Inkscape,,jacobalbano,Humphrey's  Tiny  Adventure,http://www.ludumdare.com/compo/ludum-dare-23/?action=rate&uid=12481,,,,Chronolapse,Windows,,http://www.youtube.com/watch?v=zudB1YFZtPI,http://www.ludumdare.com/compo/2012/04/23/first-ludum-dare-post-mortem-2/,
5/11/2012 4:13:41,C#,Unity,,"Gimp, Inkscape, MSPaint",as3sfxr,JonathanG,Macro Marines,http://www.ludumdare.com/compo/ludum-dare-23/?action=preview&uid=11515,,,Unity,Chronolapse,Windows,Blender,http://www.youtube.com/watch?v=9rKojSgseRY,http://www.ludumdare.com/compo/2012/05/10/macro-marines-post-mortem/,
